*devicons.txt*  Nerd Font Cheatsheets - Devicons

===============================================================================
																	*devicons*
Nerd Font - Devicons ~

| Decimal | Unicode | Glyph |
|--------:|--------:|:-----:|
| 59136   | \ue700  |      | *nerdfont-59136* *nerdfont-ue700* *nerdfont-*
| 59137   | \ue701  |      | *nerdfont-59137* *nerdfont-ue701* *nerdfont-*
| 59138   | \ue702  |      | *nerdfont-59138* *nerdfont-ue702* *nerdfont-*
| 59139   | \ue703  |      | *nerdfont-59139* *nerdfont-ue703* *nerdfont-*
| 59140   | \ue704  |      | *nerdfont-59140* *nerdfont-ue704* *nerdfont-*
| 59141   | \ue705  |      | *nerdfont-59141* *nerdfont-ue705* *nerdfont-*
| 59142   | \ue706  |      | *nerdfont-59142* *nerdfont-ue706* *nerdfont-*
| 59143   | \ue707  |      | *nerdfont-59143* *nerdfont-ue707* *nerdfont-*
| 59144   | \ue708  |      | *nerdfont-59144* *nerdfont-ue708* *nerdfont-*
| 59145   | \ue709  |      | *nerdfont-59145* *nerdfont-ue709* *nerdfont-*
| 59146   | \ue70a  |      | *nerdfont-59146* *nerdfont-ue70a* *nerdfont-*
| 59147   | \ue70b  |      | *nerdfont-59147* *nerdfont-ue70b* *nerdfont-*
| 59148   | \ue70c  |      | *nerdfont-59148* *nerdfont-ue70c* *nerdfont-*
| 59149   | \ue70d  |      | *nerdfont-59149* *nerdfont-ue70d* *nerdfont-*
| 59150   | \ue70e  |      | *nerdfont-59150* *nerdfont-ue70e* *nerdfont-*
| 59151   | \ue70f  |      | *nerdfont-59151* *nerdfont-ue70f* *nerdfont-*
| 59152   | \ue710  |      | *nerdfont-59152* *nerdfont-ue710* *nerdfont-*
| 59153   | \ue711  |      | *nerdfont-59153* *nerdfont-ue711* *nerdfont-*
| 59154   | \ue712  |      | *nerdfont-59154* *nerdfont-ue712* *nerdfont-*
| 59155   | \ue713  |      | *nerdfont-59155* *nerdfont-ue713* *nerdfont-*
| 59156   | \ue714  |      | *nerdfont-59156* *nerdfont-ue714* *nerdfont-*
| 59157   | \ue715  |      | *nerdfont-59157* *nerdfont-ue715* *nerdfont-*
| 59158   | \ue716  |      | *nerdfont-59158* *nerdfont-ue716* *nerdfont-*
| 59159   | \ue717  |      | *nerdfont-59159* *nerdfont-ue717* *nerdfont-*
| 59160   | \ue718  |      | *nerdfont-59160* *nerdfont-ue718* *nerdfont-*
| 59161   | \ue719  |      | *nerdfont-59161* *nerdfont-ue719* *nerdfont-*
| 59162   | \ue71a  |      | *nerdfont-59162* *nerdfont-ue71a* *nerdfont-*
| 59163   | \ue71b  |      | *nerdfont-59163* *nerdfont-ue71b* *nerdfont-*
| 59164   | \ue71c  |      | *nerdfont-59164* *nerdfont-ue71c* *nerdfont-*
| 59165   | \ue71d  |      | *nerdfont-59165* *nerdfont-ue71d* *nerdfont-*
| 59166   | \ue71e  |      | *nerdfont-59166* *nerdfont-ue71e* *nerdfont-*
| 59167   | \ue71f  |      | *nerdfont-59167* *nerdfont-ue71f* *nerdfont-*
| 59168   | \ue720  |      | *nerdfont-59168* *nerdfont-ue720* *nerdfont-*
| 59169   | \ue721  |      | *nerdfont-59169* *nerdfont-ue721* *nerdfont-*
| 59170   | \ue722  |      | *nerdfont-59170* *nerdfont-ue722* *nerdfont-*
| 59171   | \ue723  |      | *nerdfont-59171* *nerdfont-ue723* *nerdfont-*
| 59172   | \ue724  |      | *nerdfont-59172* *nerdfont-ue724* *nerdfont-*
| 59173   | \ue725  |      | *nerdfont-59173* *nerdfont-ue725* *nerdfont-*
