*font-awesome-extensions.txt*  Nerd Font Cheatsheets - Font Awesome Extensions

===============================================================================
													  *font-awesome-extension*
Nerd Font - Font Awesome Extensions ~

| Decimal | Unicode | Glyph |
|--------:|--------:|:-----:|
| 57856   | \ue200  |      | *nerdfont-57856* *nerdfont-ue200* *nerdfont-*
| 57857   | \ue201  |      | *nerdfont-57857* *nerdfont-ue201* *nerdfont-*
| 57858   | \ue202  |      | *nerdfont-57858* *nerdfont-ue202* *nerdfont-*
| 57859   | \ue203  |      | *nerdfont-57859* *nerdfont-ue203* *nerdfont-*
| 57860   | \ue204  |      | *nerdfont-57860* *nerdfont-ue204* *nerdfont-*
| 57861   | \ue205  |      | *nerdfont-57861* *nerdfont-ue205* *nerdfont-*
| 57862   | \ue206  |      | *nerdfont-57862* *nerdfont-ue206* *nerdfont-*
| 57863   | \ue207  |      | *nerdfont-57863* *nerdfont-ue207* *nerdfont-*
| 57864   | \ue208  |      | *nerdfont-57864* *nerdfont-ue208* *nerdfont-*
| 57865   | \ue209  |      | *nerdfont-57865* *nerdfont-ue209* *nerdfont-*
| 57866   | \ue20a  |      | *nerdfont-57866* *nerdfont-ue20a* *nerdfont-*
| 57867   | \ue20b  |      | *nerdfont-57867* *nerdfont-ue20b* *nerdfont-*
| 57868   | \ue20c  |      | *nerdfont-57868* *nerdfont-ue20c* *nerdfont-*
| 57869   | \ue20d  |      | *nerdfont-57869* *nerdfont-ue20d* *nerdfont-*
| 57870   | \ue20e  |      | *nerdfont-57870* *nerdfont-ue20e* *nerdfont-*
| 57871   | \ue20f  |      | *nerdfont-57871* *nerdfont-ue20f* *nerdfont-*
| 57872   | \ue210  |      | *nerdfont-57872* *nerdfont-ue210* *nerdfont-*
| 57873   | \ue211  |      | *nerdfont-57873* *nerdfont-ue211* *nerdfont-*
| 57874   | \ue212  |      | *nerdfont-57874* *nerdfont-ue212* *nerdfont-*
| 57875   | \ue213  |      | *nerdfont-57875* *nerdfont-ue213* *nerdfont-*
| 57876   | \ue214  |      | *nerdfont-57876* *nerdfont-ue214* *nerdfont-*
| 57877   | \ue215  |      | *nerdfont-57877* *nerdfont-ue215* *nerdfont-*
| 57878   | \ue216  |      | *nerdfont-57878* *nerdfont-ue216* *nerdfont-*
| 57879   | \ue217  |      | *nerdfont-57879* *nerdfont-ue217* *nerdfont-*
| 57880   | \ue218  |      | *nerdfont-57880* *nerdfont-ue218* *nerdfont-*
| 57881   | \ue219  |      | *nerdfont-57881* *nerdfont-ue219* *nerdfont-*
| 57882   | \ue21a  |      | *nerdfont-57882* *nerdfont-ue21a* *nerdfont-*
| 57883   | \ue21b  |      | *nerdfont-57883* *nerdfont-ue21b* *nerdfont-*
| 57884   | \ue21c  |      | *nerdfont-57884* *nerdfont-ue21c* *nerdfont-*
| 57885   | \ue21d  |      | *nerdfont-57885* *nerdfont-ue21d* *nerdfont-*
| 57886   | \ue21e  |      | *nerdfont-57886* *nerdfont-ue21e* *nerdfont-*
| 57887   | \ue21f  |      | *nerdfont-57887* *nerdfont-ue21f* *nerdfont-*
| 57888   | \ue220  |      | *nerdfont-57888* *nerdfont-ue220* *nerdfont-*
| 57889   | \ue221  |      | *nerdfont-57889* *nerdfont-ue221* *nerdfont-*
| 57890   | \ue222  |      | *nerdfont-57890* *nerdfont-ue222* *nerdfont-*
| 57891   | \ue223  |      | *nerdfont-57891* *nerdfont-ue223* *nerdfont-*
| 57892   | \ue224  |      | *nerdfont-57892* *nerdfont-ue224* *nerdfont-*
| 57893   | \ue225  |      | *nerdfont-57893* *nerdfont-ue225* *nerdfont-*
