*font-awesome.txt*  Nerd Font Cheatsheets - Font Awesome

===============================================================================
																*font-awesome*
Nerd Font - Font Awesome ~

| Decimal | Unicode | Glyph |
|--------:|--------:|:-----:|
| 61444   | \uf004  |      | *nerdfont-61444* *nerdfont-uf004* *nerdfont-*
| 61445   | \uf005  |      | *nerdfont-61445* *nerdfont-uf005* *nerdfont-*
| 61446   | \uf006  |      | *nerdfont-61446* *nerdfont-uf006* *nerdfont-*
| 61447   | \uf007  |      | *nerdfont-61447* *nerdfont-uf007* *nerdfont-*
| 61448   | \uf008  |      | *nerdfont-61448* *nerdfont-uf008* *nerdfont-*
| 61449   | \uf009  |      | *nerdfont-61449* *nerdfont-uf009* *nerdfont-*
| 61450   | \uf00a  |      | *nerdfont-61450* *nerdfont-uf00a* *nerdfont-*
| 61451   | \uf00b  |      | *nerdfont-61451* *nerdfont-uf00b* *nerdfont-*
| 61452   | \uf00c  |      | *nerdfont-61452* *nerdfont-uf00c* *nerdfont-*
| 61453   | \uf00d  |      | *nerdfont-61453* *nerdfont-uf00d* *nerdfont-*
| 61454   | \uf00e  |      | *nerdfont-61454* *nerdfont-uf00e* *nerdfont-*
| 61456   | \uf010  |      | *nerdfont-61456* *nerdfont-uf010* *nerdfont-*
| 61457   | \uf011  |      | *nerdfont-61457* *nerdfont-uf011* *nerdfont-*
| 61458   | \uf012  |      | *nerdfont-61458* *nerdfont-uf012* *nerdfont-*
| 61459   | \uf013  |      | *nerdfont-61459* *nerdfont-uf013* *nerdfont-*
| 61460   | \uf014  |      | *nerdfont-61460* *nerdfont-uf014* *nerdfont-*
| 61461   | \uf015  |      | *nerdfont-61461* *nerdfont-uf015* *nerdfont-*
| 61462   | \uf016  |      | *nerdfont-61462* *nerdfont-uf016* *nerdfont-*
| 61463   | \uf017  |      | *nerdfont-61463* *nerdfont-uf017* *nerdfont-*
| 61464   | \uf018  |      | *nerdfont-61464* *nerdfont-uf018* *nerdfont-*
| 61465   | \uf019  |      | *nerdfont-61465* *nerdfont-uf019* *nerdfont-*
| 61466   | \uf01a  |      | *nerdfont-61466* *nerdfont-uf01a* *nerdfont-*
| 61467   | \uf01b  |      | *nerdfont-61467* *nerdfont-uf01b* *nerdfont-*
| 61468   | \uf01c  |      | *nerdfont-61468* *nerdfont-uf01c* *nerdfont-*
| 61469   | \uf01d  |      | *nerdfont-61469* *nerdfont-uf01d* *nerdfont-*
| 61470   | \uf01e  |      | *nerdfont-61470* *nerdfont-uf01e* *nerdfont-*
| 61473   | \uf021  |      | *nerdfont-61473* *nerdfont-uf021* *nerdfont-*
| 61474   | \uf022  |      | *nerdfont-61474* *nerdfont-uf022* *nerdfont-*
| 61475   | \uf023  |      | *nerdfont-61475* *nerdfont-uf023* *nerdfont-*
| 61476   | \uf024  |      | *nerdfont-61476* *nerdfont-uf024* *nerdfont-*
| 61477   | \uf025  |      | *nerdfont-61477* *nerdfont-uf025* *nerdfont-*
| 61478   | \uf026  |      | *nerdfont-61478* *nerdfont-uf026* *nerdfont-*
