*iec-power-symbols.txt*  Nerd Font Cheatsheets - IEC Power Symbols

===============================================================================
														   *iec-power-symbols*
Nerd Font - IEC Power Symbols ~

| Decimal | Unicode | Glyph |
|--------:|--------:|:-----:|
| 09211   | \u23fb  | ⏻     | *nerdfont-09211* *nerdfont-u23fb* *nerdfont-⏻*
| 09212   | \u23fc  | ⏼     | *nerdfont-09212* *nerdfont-u23fc* *nerdfont-⏼*
| 09213   | \u23fd  | ⏽     | *nerdfont-09213* *nerdfont-u23fd* *nerdfont-⏽*
| 09214   | \u23fe  | ⏾     | *nerdfont-09214* *nerdfont-u23fe* *nerdfont-⏾*
| 09216   | \u2400  | ␀     | *nerdfont-09216* *nerdfont-u2400* *nerdfont-␀*
| 09217   | \u2401  | ␁     | *nerdfont-09217* *nerdfont-u2401* *nerdfont-␁*
| 09218   | \u2402  | ␂     | *nerdfont-09218* *nerdfont-u2402* *nerdfont-␂*
| 09219   | \u2403  | ␃     | *nerdfont-09219* *nerdfont-u2403* *nerdfont-␃*
| 09220   | \u2404  | ␄     | *nerdfont-09220* *nerdfont-u2404* *nerdfont-␄*
| 09221   | \u2405  | ␅     | *nerdfont-09221* *nerdfont-u2405* *nerdfont-␅*
| 09222   | \u2406  | ␆     | *nerdfont-09222* *nerdfont-u2406* *nerdfont-␆*
| 09223   | \u2407  | ␇     | *nerdfont-09223* *nerdfont-u2407* *nerdfont-␇*
| 09224   | \u2408  | ␈     | *nerdfont-09224* *nerdfont-u2408* *nerdfont-␈*
| 09225   | \u2409  | ␉     | *nerdfont-09225* *nerdfont-u2409* *nerdfont-␉*
| 09226   | \u240a  | ␊     | *nerdfont-09226* *nerdfont-u240a* *nerdfont-␊*
| 09227   | \u240b  | ␋     | *nerdfont-09227* *nerdfont-u240b* *nerdfont-␋*
| 09228   | \u240c  | ␌     | *nerdfont-09228* *nerdfont-u240c* *nerdfont-␌*
| 09229   | \u240d  | ␍     | *nerdfont-09229* *nerdfont-u240d* *nerdfont-␍*
| 09230   | \u240e  | ␎     | *nerdfont-09230* *nerdfont-u240e* *nerdfont-␎*
| 09231   | \u240f  | ␏     | *nerdfont-09231* *nerdfont-u240f* *nerdfont-␏*
| 09232   | \u2410  | ␐     | *nerdfont-09232* *nerdfont-u2410* *nerdfont-␐*
| 09233   | \u2411  | ␑     | *nerdfont-09233* *nerdfont-u2411* *nerdfont-␑*
| 09234   | \u2412  | ␒     | *nerdfont-09234* *nerdfont-u2412* *nerdfont-␒*
| 09235   | \u2413  | ␓     | *nerdfont-09235* *nerdfont-u2413* *nerdfont-␓*
| 09236   | \u2414  | ␔     | *nerdfont-09236* *nerdfont-u2414* *nerdfont-␔*
| 09237   | \u2415  | ␕     | *nerdfont-09237* *nerdfont-u2415* *nerdfont-␕*
| 09238   | \u2416  | ␖     | *nerdfont-09238* *nerdfont-u2416* *nerdfont-␖*
| 09239   | \u2417  | ␗     | *nerdfont-09239* *nerdfont-u2417* *nerdfont-␗*
| 09240   | \u2418  | ␘     | *nerdfont-09240* *nerdfont-u2418* *nerdfont-␘*
| 09241   | \u2419  | ␙     | *nerdfont-09241* *nerdfont-u2419* *nerdfont-␙*
| 09242   | \u241a  | ␚     | *nerdfont-09242* *nerdfont-u241a* *nerdfont-␚*
| 09243   | \u241b  | ␛     | *nerdfont-09243* *nerdfont-u241b* *nerdfont-␛*
| 09244   | \u241c  | ␜     | *nerdfont-09244* *nerdfont-u241c* *nerdfont-␜*
| 09245   | \u241d  | ␝     | *nerdfont-09245* *nerdfont-u241d* *nerdfont-␝*
| 09246   | \u241e  | ␞     | *nerdfont-09246* *nerdfont-u241e* *nerdfont-␞*
| 09247   | \u241f  | ␟     | *nerdfont-09247* *nerdfont-u241f* *nerdfont-␟*
| 09248   | \u2420  | ␠     | *nerdfont-09248* *nerdfont-u2420* *nerdfont-␠*
| 09249   | \u2421  | ␡     | *nerdfont-09249* *nerdfont-u2421* *nerdfont-␡*
| 09250   | \u2422  | ␢     | *nerdfont-09250* *nerdfont-u2422* *nerdfont-␢*
| 09251   | \u2423  | ␣     | *nerdfont-09251* *nerdfont-u2423* *nerdfont-␣*
| 09252   | \u2424  | ␤     | *nerdfont-09252* *nerdfont-u2424* *nerdfont-␤*
| 09253   | \u2425  | ␥     | *nerdfont-09253* *nerdfont-u2425* *nerdfont-␥*
| 09254   | \u2426  | ␦     | *nerdfont-09254* *nerdfont-u2426* *nerdfont-␦*
| 09280   | \u2440  | ⑀     | *nerdfont-09280* *nerdfont-u2440* *nerdfont-⑀*
| 09281   | \u2441  | ⑁     | *nerdfont-09281* *nerdfont-u2441* *nerdfont-⑁*
| 09282   | \u2442  | ⑂     | *nerdfont-09282* *nerdfont-u2442* *nerdfont-⑂*
| 09283   | \u2443  | ⑃     | *nerdfont-09283* *nerdfont-u2443* *nerdfont-⑃*
| 09284   | \u2444  | ⑄     | *nerdfont-09284* *nerdfont-u2444* *nerdfont-⑄*
| 09285   | \u2445  | ⑅     | *nerdfont-09285* *nerdfont-u2445* *nerdfont-⑅*
| 09286   | \u2446  | ⑆     | *nerdfont-09286* *nerdfont-u2446* *nerdfont-⑆*
| 09287   | \u2447  | ⑇     | *nerdfont-09287* *nerdfont-u2447* *nerdfont-⑇*
| 09288   | \u2448  | ⑈     | *nerdfont-09288* *nerdfont-u2448* *nerdfont-⑈*
| 09289   | \u2449  | ⑉     | *nerdfont-09289* *nerdfont-u2449* *nerdfont-⑉*
| 09290   | \u244a  | ⑊     | *nerdfont-09290* *nerdfont-u244a* *nerdfont-⑊*
| 09312   | \u2460  | ①     | *nerdfont-09312* *nerdfont-u2460* *nerdfont-①*
| 09313   | \u2461  | ②     | *nerdfont-09313* *nerdfont-u2461* *nerdfont-②*
| 09314   | \u2462  | ③     | *nerdfont-09314* *nerdfont-u2462* *nerdfont-③*
| 09315   | \u2463  | ④     | *nerdfont-09315* *nerdfont-u2463* *nerdfont-④*
| 09316   | \u2464  | ⑤     | *nerdfont-09316* *nerdfont-u2464* *nerdfont-⑤*
| 09317   | \u2465  | ⑥     | *nerdfont-09317* *nerdfont-u2465* *nerdfont-⑥*
| 09318   | \u2466  | ⑦     | *nerdfont-09318* *nerdfont-u2466* *nerdfont-⑦*
| 09319   | \u2467  | ⑧     | *nerdfont-09319* *nerdfont-u2467* *nerdfont-⑧*
| 09320   | \u2468  | ⑨     | *nerdfont-09320* *nerdfont-u2468* *nerdfont-⑨*
| 09321   | \u2469  | ⑩     | *nerdfont-09321* *nerdfont-u2469* *nerdfont-⑩*
| 09322   | \u246a  | ⑪     | *nerdfont-09322* *nerdfont-u246a* *nerdfont-⑪*
| 09323   | \u246b  | ⑫     | *nerdfont-09323* *nerdfont-u246b* *nerdfont-⑫*
