*octicons.txt*  Nerd Font Cheatsheets - Octicons

===============================================================================
														            *octicons*
Nerd Font - Octicons ~

| Decimal | Unicode | Glyph |
|--------:|--------:|:-----:|
| 62464   | \uf400  |      | *nerdfont-62464* *nerdfont-uf400* *nerdfont-*
| 62465   | \uf401  |      | *nerdfont-62465* *nerdfont-uf401* *nerdfont-*
| 62466   | \uf402  |      | *nerdfont-62466* *nerdfont-uf402* *nerdfont-*
| 62467   | \uf403  |      | *nerdfont-62467* *nerdfont-uf403* *nerdfont-*
| 62468   | \uf404  |      | *nerdfont-62468* *nerdfont-uf404* *nerdfont-*
| 62469   | \uf405  |      | *nerdfont-62469* *nerdfont-uf405* *nerdfont-*
| 62470   | \uf406  |      | *nerdfont-62470* *nerdfont-uf406* *nerdfont-*
| 62471   | \uf407  |      | *nerdfont-62471* *nerdfont-uf407* *nerdfont-*
| 62472   | \uf408  |      | *nerdfont-62472* *nerdfont-uf408* *nerdfont-*
| 62473   | \uf409  |      | *nerdfont-62473* *nerdfont-uf409* *nerdfont-*
| 62474   | \uf40a  |      | *nerdfont-62474* *nerdfont-uf40a* *nerdfont-*
| 62475   | \uf40b  |      | *nerdfont-62475* *nerdfont-uf40b* *nerdfont-*
| 62476   | \uf40c  |      | *nerdfont-62476* *nerdfont-uf40c* *nerdfont-*
| 62477   | \uf40d  |      | *nerdfont-62477* *nerdfont-uf40d* *nerdfont-*
| 62478   | \uf40e  |      | *nerdfont-62478* *nerdfont-uf40e* *nerdfont-*
| 62479   | \uf40f  |      | *nerdfont-62479* *nerdfont-uf40f* *nerdfont-*
| 62480   | \uf410  |      | *nerdfont-62480* *nerdfont-uf410* *nerdfont-*
| 62481   | \uf411  |      | *nerdfont-62481* *nerdfont-uf411* *nerdfont-*
| 62482   | \uf412  |      | *nerdfont-62482* *nerdfont-uf412* *nerdfont-*
| 62483   | \uf413  |      | *nerdfont-62483* *nerdfont-uf413* *nerdfont-*
| 62484   | \uf414  |      | *nerdfont-62484* *nerdfont-uf414* *nerdfont-*
| 62485   | \uf415  |      | *nerdfont-62485* *nerdfont-uf415* *nerdfont-*
| 62486   | \uf416  |      | *nerdfont-62486* *nerdfont-uf416* *nerdfont-*
| 62487   | \uf417  |      | *nerdfont-62487* *nerdfont-uf417* *nerdfont-*
| 62488   | \uf418  |      | *nerdfont-62488* *nerdfont-uf418* *nerdfont-*
| 62489   | \uf419  |      | *nerdfont-62489* *nerdfont-uf419* *nerdfont-*
| 62490   | \uf41a  |      | *nerdfont-62490* *nerdfont-uf41a* *nerdfont-*
| 62491   | \uf41b  |      | *nerdfont-62491* *nerdfont-uf41b* *nerdfont-*
| 62492   | \uf41c  |      | *nerdfont-62492* *nerdfont-uf41c* *nerdfont-*
| 62493   | \uf41d  |      | *nerdfont-62493* *nerdfont-uf41d* *nerdfont-*
| 62494   | \uf41e  |      | *nerdfont-62494* *nerdfont-uf41e* *nerdfont-*
| 62495   | \uf41f  |      | *nerdfont-62495* *nerdfont-uf41f* *nerdfont-*
| 62496   | \uf420  |      | *nerdfont-62496* *nerdfont-uf420* *nerdfont-*
| 62497   | \uf421  |      | *nerdfont-62497* *nerdfont-uf421* *nerdfont-*
| 62498   | \uf422  |      | *nerdfont-62498* *nerdfont-uf422* *nerdfont-*
| 62499   | \uf423  |      | *nerdfont-62499* *nerdfont-uf423* *nerdfont-*
| 62500   | \uf424  |      | *nerdfont-62500* *nerdfont-uf424* *nerdfont-*
| 62501   | \uf425  |      | *nerdfont-62501* *nerdfont-uf425* *nerdfont-*
| 62502   | \uf426  |      | *nerdfont-62502* *nerdfont-uf426* *nerdfont-*
| 62503   | \uf427  |      | *nerdfont-62503* *nerdfont-uf427* *nerdfont-*
| 62504   | \uf428  |      | *nerdfont-62504* *nerdfont-uf428* *nerdfont-*
| 62505   | \uf429  |      | *nerdfont-62505* *nerdfont-uf429* *nerdfont-*
| 62506   | \uf42a  |      | *nerdfont-62506* *nerdfont-uf42a* *nerdfont-*
| 62507   | \uf42b  |      | *nerdfont-62507* *nerdfont-uf42b* *nerdfont-*
| 62508   | \uf42c  |      | *nerdfont-62508* *nerdfont-uf42c* *nerdfont-*
| 62509   | \uf42d  |      | *nerdfont-62509* *nerdfont-uf42d* *nerdfont-*
| 62510   | \uf42e  |      | *nerdfont-62510* *nerdfont-uf42e* *nerdfont-*
| 62511   | \uf42f  |      | *nerdfont-62511* *nerdfont-uf42f* *nerdfont-*
| 62512   | \uf430  |      | *nerdfont-62512* *nerdfont-uf430* *nerdfont-*
| 62513   | \uf431  |      | *nerdfont-62513* *nerdfont-uf431* *nerdfont-*
| 62514   | \uf432  |      | *nerdfont-62514* *nerdfont-uf432* *nerdfont-*
| 62515   | \uf433  |      | *nerdfont-62515* *nerdfont-uf433* *nerdfont-*
| 62516   | \uf434  |      | *nerdfont-62516* *nerdfont-uf434* *nerdfont-*
